{'local_model_0': 0.6784339455073667, 'local_model_1': 0.5993658185614414, 'local_model_2': 0.7129005938043782, 'local_model_3': 0.8098441267879417, 'local_model_4': 0.7704339379631777, 'local_model_5': 0.7300892865792572, 'local_model_6': 0.42166818104131454, 'local_model_7': 0.7020691129504948, 'local_model_8': 0.8249930553823824, 'local_model_9': 0.8034558654039216}
{'local_model_0': 0.8064677107668983, 'local_model_1': 0.6127961908186833, 'local_model_2': 0.5864293952075545, 'local_model_3': 0.7735922555826188, 'local_model_4': 0.4898495156585942, 'local_model_5': 0.6814105819341815, 'local_model_6': 0.822432182150388, 'local_model_7': 0.5767012759784793, 'local_model_8': 0.5424078210041358, 'local_model_9': 0.7261148082029658}
{'local_model_0': 0.734736852698658, 'local_model_1': 0.7290213820777611, 'local_model_2': 0.4220896427011685, 'local_model_3': 0.7222518374270424, 'local_model_4': 0.5588660595238989, 'local_model_5': 0.619163259357314, 'local_model_6': 0.5655639078276946, 'local_model_7': 0.5552090282421809, 'local_model_8': 0.6566122508689347, 'local_model_9': 0.6719193054240306}
{'local_model_0': 0.7862000043071187, 'local_model_1': 0.6531250685469564, 'local_model_2': 0.5696227804564824, 'local_model_3': 0.6684258006963631, 'local_model_4': 0.7683257297103103, 'local_model_5': 0.6300459251857552, 'local_model_6': 0.8784319443360045, 'local_model_7': 0.86315950617466, 'local_model_8': 0.7460575172129355, 'local_model_9': 0.7977218028457191}
{'local_model_0': 0.6945667955767083, 'local_model_1': 0.68149964204235, 'local_model_2': 0.2749201080745762, 'local_model_3': 0.5699253460875826, 'local_model_4': 0.5163366334766373, 'local_model_5': 0.3955966272886561, 'local_model_6': 0.6932799641347087, 'local_model_7': 0.38054242695318496, 'local_model_8': 0.665640475579933, 'local_model_9': 0.4482464216753995}
{'local_model_0': 0.44147278011508106, 'local_model_1': 0.5112365414156708, 'local_model_2': 0.49132817819583596, 'local_model_3': 0.643627167162301, 'local_model_4': 0.5259855909812733, 'local_model_5': 0.6465185442922293, 'local_model_6': 0.6021090891597356, 'local_model_7': 0.7175581344536932, 'local_model_8': 0.6326913307379252, 'local_model_9': 0.7079323196099462}
{'local_model_0': 0.6784351954058567, 'local_model_1': 0.6623367228740608, 'local_model_2': 0.5057142547386603, 'local_model_3': 0.821228607657279, 'local_model_4': 0.6300922880846631, 'local_model_5': 0.6408034427559048, 'local_model_6': 0.7981998997259201, 'local_model_7': 0.6580893807372561, 'local_model_8': 0.6503922551139126, 'local_model_9': 0.7199062054998997}
{'local_model_0': 0.5819017794735182, 'local_model_1': 0.5252711491765245, 'local_model_2': 0.717298734280245, 'local_model_3': 0.47801520777184225, 'local_model_4': 0.5684839060283445, 'local_model_5': 0.5405972370147747, 'local_model_6': 0.3233698050643376, 'local_model_7': 0.49323676141870215, 'local_model_8': 0.5050044663326148, 'local_model_9': 0.5508582657188882}
{'local_model_0': 0.7126519275699978, 'local_model_1': 0.5813280084805473, 'local_model_2': 0.4389767861873629, 'local_model_3': 0.7914080233755825, 'local_model_4': 0.5211522540787744, 'local_model_5': 0.6110072828083444, 'local_model_6': 0.4842280653026209, 'local_model_7': 0.5669725731533674, 'local_model_8': 0.691803144941871, 'local_model_9': 0.4624091705655734}
{'local_model_0': 0.7125784832574198, 'local_model_1': 0.7960123616449567, 'local_model_2': 0.8369341074120005, 'local_model_3': 0.8814002807731921, 'local_model_4': 0.631009212554162, 'local_model_5': 0.6289236183215374, 'local_model_6': 0.6990514839695852, 'local_model_7': 0.8038360333869922, 'local_model_8': 0.8152512282657439, 'local_model_9': 0.49132810051414283}
{'local_model_0': 0.4907040263061867, 'local_model_1': 0.7183888677981786, 'local_model_2': 0.695670126003258, 'local_model_3': 0.5889249845549761, 'local_model_4': 0.7699148813255613, 'local_model_5': 0.6577959902768442, 'local_model_6': 0.509478423654699, 'local_model_7': 0.5837862779988019, 'local_model_8': 0.6837216980239408, 'local_model_9': 0.7408658511796661}
{'local_model_0': 0.817975735127774, 'local_model_1': 0.7015622601353008, 'local_model_2': 0.5625029773609779, 'local_model_3': 0.8336502726026473, 'local_model_4': 0.6691466100298692, 'local_model_5': 0.6391589318754825, 'local_model_6': 0.7056158161839517, 'local_model_7': 0.8712244149366312, 'local_model_8': 0.8042202662431487, 'local_model_9': 0.7952956182838844}
{'local_model_0': 0.6422786980969115, 'local_model_1': 0.6729875915071027, 'local_model_2': 0.6699723919962697, 'local_model_3': 0.5446885835891225, 'local_model_4': 0.8404752172801556, 'local_model_5': 0.481594310288841, 'local_model_6': 0.30480318583885513, 'local_model_7': 0.5869786801056468, 'local_model_8': 0.5655439335243421, 'local_model_9': 0.7866106699011745}
